date,public,private,total,public_cumulative,private_cumulative,total_cumulative
2022-06-26 00:00:00+00:00,0,0,0,95,18,113
2022-06-27 00:00:00+00:00,0,0,0,95,18,113
2022-06-28 00:00:00+00:00,3,1,4,98,19,117
2022-06-29 00:00:00+00:00,5,2,7,103,21,124
2022-06-30 00:00:00+00:00,0,1,1,103,22,125
2022-07-01 00:00:00+00:00,1,1,2,104,23,127
2022-07-02 00:00:00+00:00,0,0,0,104,23,127
2022-07-03 00:00:00+00:00,0,1,1,104,24,128
2022-07-04 00:00:00+00:00,0,0,0,104,24,128
2022-07-05 00:00:00+00:00,8,2,10,112,26,138
2022-07-06 00:00:00+00:00,1,2,3,113,28,141
2022-07-07 00:00:00+00:00,0,1,1,113,29,142
2022-07-08 00:00:00+00:00,1,1,2,114,30,144
